block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933525,2100000000,89.29,12.00,1.53,1.30,0.74,37.62,0.75,2.97,1.59,0.62
6933545,3080000000,-1.00,26.89,5.00,26.58,-1.00,-1.00,36.84,2.38,100.00,16.67
6933611,2100000000,3.57,2.17,0.60,1.08,2.44,-1.00,4.41,3.12,0.54,0.61
6933919,2800000000,2.50,28.26,16.95,100.00,30.23,20.54,14.29,31.25,38.24,3.03
6933978,2300000000,16.67,55.56,16.44,0.83,3.45,43.59,7.14,1.72,1.04,52.38
6933748,2200000000,2.22,0.91,2.70,16.67,6.67,42.55,86.79,0.89,2.33,45.59
6933889,2300000000,21.28,3.51,0.70,8.33,2.27,85.58,39.58,20.00,32.43,0.81
6933982,5000000000,85.71,18.87,17.31,59.65,50.00,34.29,30.77,7.46,67.98,48.03
6933988,3000000000,54.41,33.33,35.21,20.25,6.90,100.00,2.86,8.64,6.12,39.13
6933427,2300000000,-1.00,-1.00,0.53,-1.00,0.65,-1.00,11.45,1.30,0.83,57.14
6933471,3254489451,5.56,31.03,40.30,41.25,37.62,8.33,3.31,89.29,18.18,5.93
6933811,3000000000,10.00,17.95,1.23,7.01,85.71,5.56,3.70,26.56,25.00,1.48
6933886,3900000000,10.66,6.67,46.85,25.00,67.48,3.23,54.39,15.65,0.95,20.00
6933890,2400000000,20.00,48.07,16.05,0.75,11.70,81.82,14.29,100.00,0.66,0.83
6933436,2300000000,8.78,0.53,-1.00,0.65,0.61,11.59,1.30,0.83,57.14,1.69
6933426,3000000000,-1.00,-1.00,24.09,15.38,31.55,1.30,51.24,64.29,-1.00,20.61
6933594,2860000000,0.70,25.00,18.37,1.54,0.58,0.82,22.89,1.35,1.10,10.00
6933617,7000000000,11.04,42.44,59.57,-1.00,31.82,2.27,10.07,63.44,93.55,26.56
6933627,2420000000,2.44,0.60,-1.00,77.99,55.32,35.56,1.08,23.91,42.86,0.62
6933790,2500000000,0.45,37.25,9.80,7.14,77.78,-1.00,0.81,-1.00,60.00,33.07
6933893,2200000000,14.14,50.00,13.10,20.00,6.84,2.22,14.29,54.47,3.23,0.95
6933920,2300000000,31.03,19.67,22.22,0.63,31.07,5.56,0.79,0.69,2.63,1.56
6933934,2200000000,61.90,2.13,3.03,76.09,10.71,1.79,45.83,10.53,7.35,28.12
6933593,2420000000,10.34,3.08,4.35,0.89,18.52,2.00,2.22,0.91,96.23,2.70
6933834,2300000000,82.84,3.03,-1.00,0.64,12.80,34.04,5.00,14.63,21.62,1.28
6933526,9000000000,0.00,58.26,97.06,52.94,14.29,2.13,100.00,22.30,53.97,10.53
6933657,9000000000,97.06,14.29,2.13,100.00,5.88,38.71,58.26,22.30,52.94,53.97
6933961,3000000000,5.71,5.88,25.42,1.12,27.34,55.00,0.52,53.66,50.00,5.78
6933527,2860000000,45.05,-1.00,0.89,76.19,1.79,2.13,58.33,3.03,84.78,2.63
6933530,2200000000,8.51,0.70,6.67,2.27,20.00,0.55,3.51,84.62,33.33,29.73
6933583,2200000000,2.00,1.08,100.00,33.33,33.33,4.52,1.72,8.84,-1.00,0.68
6933650,3000000000,1.49,0.52,14.52,33.33,26.58,53.66,50.00,5.78,25.42,55.00
6933833,2640000000,0.95,19.23,1.22,1.19,86.36,8.33,63.41,0.94,54.17,1.72
6933422,9000000000,22.30,97.06,52.94,14.29,100.00,0.00,58.26,2.13,53.97,10.53
6933665,2100000000,0.65,2.27,10.07,5.23,12.77,2.15,70.97,0.78,4.55,-1.00
6933515,2200000000,30.95,0.62,28.12,0.61,1.08,13.04,0.60,-1.00,0.54,2.44
6933537,2100000000,1.30,0.74,1.59,89.29,0.75,2.97,12.00,1.53,0.62,37.62
6933692,2500000000,3.03,11.72,16.67,0.80,66.83,23.53,1.69,0.59,18.37,1.28
6933917,2500000000,23.81,48.28,12.87,45.56,7.64,96.97,11.85,2.33,64.71,1.06
6933959,3110000000,77.78,20.00,36.00,41.77,53.45,31.34,7.69,0.57,41.67,3.03
6933664,3000000000,67.98,-1.00,26.32,0.90,55.28,44.83,1.08,8.75,51.52,6.25
6933820,2200000000,41.67,1.19,21.74,2.56,18.42,81.46,13.39,2.50,7.14,25.00
6933910,2100000000,6.25,0.77,17.31,9.76,14.29,74.02,2.08,0.85,8.33,0.95
6933981,3000000000,100.00,50.00,33.33,44.12,20.34,9.09,31.52,32.56,16.67,20.00
6933533,2420000000,10.99,8.13,-1.00,-1.00,-1.00,-1.00,14.75,16.67,2.63,0.76
6933634,2200000000,1.08,0.60,28.12,0.54,0.61,30.95,0.62,2.44,13.04,-1.00
6933943,2200000000,45.59,16.67,0.91,2.70,0.89,2.33,2.22,86.79,6.67,42.55
6933848,10000000000,55.56,96.43,61.11,97.44,66.38,62.42,3.70,79.69,65.28,49.63
6933860,3000000000,28.68,43.75,2.15,12.20,22.81,32.14,1.63,12.88,58.70,91.30
6933863,3000000000,10.00,5.26,23.19,30.00,100.00,37.25,62.75,22.82,7.14,0.75
6933384,3254489451,40.30,3.31,-1.00,-1.00,5.56,8.33,89.29,-1.00,31.03,41.25
6933580,2200000000,100.00,-1.00,33.33,2.00,1.08,8.84,0.68,4.52,33.33,1.72
6933707,3110000000,31.34,77.78,7.69,0.57,41.77,53.45,20.00,36.00,41.67,3.03
6933728,3000000000,25.61,12.07,86.36,1.22,0.94,73.17,28.85,9.52,75.00,10.48
6933824,2300000000,11.45,1.30,0.83,-1.00,0.65,0.61,11.59,7.69,0.53,57.14
6933523,2200000000,5.00,8.89,35.56,35.29,5.10,93.94,21.43,2.33,27.59,11.88
6933579,2500000000,0.71,58.82,1.12,27.34,5.88,0.54,21.74,0.68,26.47,0.52
6933842,2100000000,0.62,5.88,10.17,3.03,100.00,16.67,50.00,6.98,20.00,0.80
6933885,3000000000,91.30,32.14,43.75,58.70,22.81,28.68,1.63,12.88,2.15,12.20
6933629,3000000000,25.00,1.23,7.01,5.56,3.70,17.95,10.00,85.71,26.56,1.48
6933737,3000000000,0.94,25.61,86.36,10.48,28.85,75.00,12.07,1.22,73.17,9.52
6933947,3900000000,20.00,15.65,10.66,25.00,67.48,0.95,54.39,6.67,46.85,3.23
6933991,2300000000,5.41,66.67,0.50,29.73,20.31,5.56,0.79,31.03,19.67,2.63
6933403,3000000000,0.52,-1.00,50.00,5.78,25.42,55.00,53.66,-1.00,-1.00,-1.00
6933763,3000000000,48.39,31.40,18.18,18.18,10.00,2.38,6.25,15.07,28.12,37.21
6933874,2300000000,14.43,4.35,0.62,3.45,0.68,0.67,1.39,41.46,0.65,0.69
6934004,10000000000,62.60,33.92,25.00,2.33,84.39,77.50,80.51,85.06,16.67,11.11
6934006,2100000000,12.12,9.28,15.15,9.52,11.67,11.11,26.32,67.74,1.20,77.30
6933586,3000000000,7.38,17.31,92.59,10.00,22.94,46.67,43.84,14.29,0.98,55.56
6933792,2300000000,4.79,18.31,68.00,48.39,6.25,10.00,21.49,2.38,19.79,30.23
6933945,3000000000,15.15,71.55,-1.00,75.00,12.07,86.36,18.18,1.22,35.19,22.22
6933568,2200000000,1.06,0.55,3.51,0.70,20.00,6.67,8.51,6.67,2.27,84.62
6933727,3000000000,47.06,7.14,43.62,12.50,3.85,21.57,49.61,75.70,35.85,1.05
6933866,3300000000,1.32,33.33,4.55,0.67,20.00,90.70,78.18,39.83,7.69,2.44
6933503,3000000000,23.17,22.94,38.04,14.29,0.98,80.77,3.03,54.05,43.84,10.00
6933512,3000000000,53.66,0.52,5.71,27.34,5.88,50.00,5.78,25.42,55.00,1.12
6933717,3110000000,51.52,41.77,53.45,41.67,10.00,7.69,20.00,0.57,36.00,6.25
6933439,3000000000,0.65,29.01,82.61,18.24,1.69,26.19,0.80,64.29,-1.00,3.07
6933687,2860000000,84.78,-1.00,1.79,2.63,76.19,2.13,58.33,3.03,45.05,0.89
6933989,3000000000,17.31,22.66,16.67,46.67,55.56,92.59,43.84,32.65,23.08,7.38
6933416,9000000000,2.13,100.00,-1.00,22.30,97.06,52.94,-1.00,58.26,14.29,53.97
6933477,3900000000,16.88,37.62,45.54,60.00,1.59,39.24,29.85,34.35,17.74,35.00
6933566,2200000000,3.51,6.67,2.27,84.62,6.67,8.51,20.00,33.33,0.55,0.70
6933912,3900000000,7.19,73.91,65.35,27.84,0.67,1.39,78.05,33.33,24.66,2.76
6933976,2600000000,15.69,16.00,55.00,19.64,37.50,23.64,94.94,6.86,16.28,24.19
6933383,3254489451,-1.00,-1.00,-1.00,41.25,3.31,31.03,40.30,-1.00,5.56,8.33
6933690,2200000000,31.50,7.14,66.36,1.05,18.09,12.50,20.75,3.85,57.22,4.00
