block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933897,2500000000,48.35,10.00,78.57,-1.00,3.70,0.62,-1.00,10.94,19.44,0.74
6933817,3500000000,61.83,-1.00,1.05,-1.00,3.12,-1.00,-1.00,-1.00,33.08,20.34
6933974,2100000000,-1.00,3.45,12.12,48.97,4.00,1.56,-1.00,12.50,3.85,-1.00
6933992,2200000000,1.69,-1.00,-1.00,16.67,0.67,3.03,0.59,14.29,20.00,-1.00
6934000,3000000000,100.00,-1.00,62.75,23.19,-1.00,0.75,30.00,10.00,22.82,-1.00
6933877,20000000000,7.69,-1.00,93.75,85.45,96.97,100.00,-1.00,-1.00,48.28,-1.00
6933476,4000000000,18.12,11.85,38.12,60.00,38.93,1.59,89.29,27.92,37.31,47.52
6933633,2200000000,0.76,-1.00,-1.00,9.80,1.69,-1.00,-1.00,3.03,0.59,0.80
6933851,15000000000,-1.00,53.68,4.00,-1.00,94.39,94.68,87.50,46.15,92.27,90.62
6933854,2200000000,100.00,5.26,-1.00,20.59,-1.00,-1.00,-1.00,-1.00,70.59,9.49
6934007,2759734681,19.64,39.29,15.79,-1.00,0.50,25.00,8.82,17.05,24.19,66.67
6933820,2000000000,0.83,3.70,-1.00,81.82,20.00,-1.00,14.29,0.75,100.00,10.00
6933547,20000000000,78.70,-1.00,78.52,-1.00,100.00,91.53,93.88,-1.00,75.00,0.00
6933497,4150987148,29.22,38.12,8.33,41.79,16.53,89.29,11.85,-1.00,37.93,48.75
6933689,3000000000,43.62,3.85,4.00,-1.00,-1.00,-1.00,1.05,12.50,64.43,20.31
6933700,15000000000,82.35,-1.00,-1.00,72.41,-1.00,80.00,59.24,67.44,0.00,56.38
6933764,3000000000,-1.00,3.45,-1.00,84.85,30.00,7.69,52.52,3.45,-1.00,9.09
6933885,5200000000,-1.00,-1.00,-1.00,100.00,2.78,-1.00,47.89,18.97,-1.00,71.43
6933894,3500000000,-1.00,-1.00,54.41,33.33,40.85,-1.00,-1.00,6.90,100.00,-1.00
6933946,10000000000,74.55,61.40,2.70,-1.00,-1.00,58.97,43.75,-1.00,16.67,-1.00
6933483,3000000000,80.77,-1.00,55.56,14.29,0.98,38.04,92.59,43.84,10.00,22.94
6933965,7000000000,13.41,-1.00,-1.00,68.42,-1.00,24.37,55.86,70.00,6.67,4.00
6933704,2624999842,-1.00,-1.00,20.00,0.57,-1.00,40.51,-1.00,-1.00,6.25,41.38
