block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933839,2200000000,2.13,-1.00,-1.00,0.89,2.63,-1.00,-1.00,3.03,76.09,-1.00
6933531,10000000000,76.69,88.46,33.33,86.49,-1.00,85.11,-1.00,-1.00,-1.00,-1.00
6933987,9000000000,47.22,27.27,-1.00,-1.00,2.50,43.51,30.30,30.91,-1.00,72.22
6933444,2300000000,11.45,-1.00,12.41,7.69,0.83,-1.00,0.65,0.61,0.53,-1.00
6933809,21000000000,95.09,98.08,-1.00,66.67,82.35,-1.00,-1.00,-1.00,-1.00,94.59
6933844,2200000000,1.19,37.50,68.18,1.22,12.96,2.27,17.31,0.94,-1.00,1.72
6933859,20000000000,-1.00,-1.00,-1.00,100.00,40.00,87.76,92.56,64.29,-1.00,-1.00
6933954,2100000000,4.55,0.65,-1.00,12.77,0.78,2.27,5.23,-1.00,70.97,-1.00
6933795,6000000000,-1.00,-1.00,-1.00,2.86,85.25,-1.00,90.00,56.25,62.16,-1.00
6933804,2100000000,-1.00,2.78,0.74,-1.00,1.72,20.00,-1.00,-1.00,1.75,-1.00
6934006,3000000000,44.83,67.98,-1.00,-1.00,11.41,55.28,-1.00,6.25,-1.00,-1.00
6933412,4150987148,11.85,-1.00,8.33,37.93,89.29,29.22,41.79,48.75,16.53,38.12
6933749,2200000000,8.33,0.95,36.59,17.31,0.94,-1.00,-1.00,0.85,0.77,1.19
6933889,10000000000,-1.00,-1.00,28.57,54.40,85.37,13.64,59.77,40.00,-1.00,100.00
6933458,2200000000,3.03,-1.00,0.76,-1.00,0.80,-1.00,9.80,1.69,0.59,-1.00
6933793,5000000000,-1.00,90.00,56.25,-1.00,-1.00,3.51,0.70,-1.00,-1.00,59.46
6933949,10000000000,-1.00,89.80,2.78,28.18,33.33,84.16,55.67,-1.00,72.54,53.42
6933687,2860000000,25.00,-1.00,10.00,0.70,0.82,-1.00,1.35,1.10,0.56,-1.00
6933533,3000000000,24.24,22.81,-1.00,43.75,1.63,-1.00,91.30,28.68,12.88,-1.00
6933576,5000000000,60.00,1.72,82.98,66.67,100.00,42.18,-1.00,17.81,22.39,-1.00
6933597,20000000000,95.09,94.59,-1.00,-1.00,95.41,28.57,79.41,98.08,-1.00,66.67
6933867,2420000000,8.13,0.76,-1.00,1.80,74.84,14.75,16.67,-1.00,10.99,2.63
6933884,3900000000,-1.00,0.55,-1.00,1.79,17.90,57.35,20.00,2.44,35.65,63.27
6933887,3000000000,-1.00,23.19,0.75,-1.00,78.18,-1.00,30.00,55.15,1.32,-1.00
6933406,4000000000,1.49,37.31,47.52,60.00,1.59,38.93,21.77,36.67,18.12,-1.00
6933660,2624999842,-1.00,41.38,-1.00,-1.00,-1.00,-1.00,20.00,6.25,0.57,40.51
6933671,30000000000,-1.00,79.43,86.08,93.10,-1.00,-1.00,-1.00,-1.00,97.01,90.50
6933988,35000000000,86.61,93.23,96.61,-1.00,92.80,-1.00,98.76,-1.00,71.88,95.79
6933432,11000000000,-1.00,41.18,86.07,-1.00,72.00,-1.00,8.33,2.38,-1.00,44.83
6933508,3000000000,-1.00,-1.00,-1.00,0.65,3.07,18.24,-1.00,82.61,29.01,0.80
6933721,2300000000,-1.00,0.80,-1.00,1.69,0.59,16.33,17.65,3.03,-1.00,-1.00
6933905,3000000000,-1.00,1.10,10.00,-1.00,-1.00,1.64,-1.00,1.35,1.68,31.52
6933672,8000000000,-1.00,83.87,-1.00,47.90,-1.00,5.00,2.38,100.00,54.43,16.67
6933388,2100000000,-1.00,-1.00,1.30,37.62,0.75,-1.00,-1.00,0.83,89.29,0.74
6933474,2100000000,14.29,18.40,53.85,-1.00,8.11,10.00,6.42,0.98,3.03,-1.00
6933784,2300000000,-1.00,-1.00,20.00,39.58,32.43,0.55,3.51,0.70,-1.00,-1.00
6933479,4000000000,1.59,89.29,27.92,11.85,38.12,37.31,47.52,60.00,38.93,18.12
6933475,5000000000,29.73,44.27,-1.00,3.03,30.67,85.51,-1.00,-1.00,6.40,66.67
6933868,3000000000,-1.00,14.29,38.04,80.77,22.94,0.98,55.56,92.59,43.84,10.00
6933565,10000000000,72.15,16.67,56.70,57.04,64.13,-1.00,100.00,5.00,39.19,64.75
6933627,2500000000,0.62,-1.00,-1.00,3.70,-1.00,10.00,78.57,10.94,19.44,0.74
6933936,15000000000,46.15,92.27,4.00,94.39,-1.00,53.68,94.68,87.50,-1.00,90.62
6933420,3080000000,-1.00,-1.00,-1.00,100.00,5.88,17.74,41.74,-1.00,29.41,-1.00
6933781,3000000000,31.52,-1.00,20.00,50.00,33.33,20.34,-1.00,100.00,-1.00,16.67
6933893,2300000000,1.72,68.18,1.22,12.96,-1.00,2.27,15.28,16.36,-1.00,2.50
6933561,15000000000,82.35,0.00,56.38,-1.00,-1.00,67.44,72.41,80.00,-1.00,59.24
6933926,2200000000,0.85,8.33,36.59,17.31,0.94,-1.00,1.19,-1.00,0.77,0.95
6933928,10000000000,28.18,55.67,53.42,-1.00,84.16,89.80,2.78,-1.00,72.54,33.33
6933455,2200000000,3.03,0.59,-1.00,0.80,-1.00,9.80,1.69,-1.00,0.76,-1.00
6933675,10000000000,-1.00,-1.00,-1.00,22.17,79.10,-1.00,-1.00,63.29,70.69,-1.00
6933731,10000000000,-1.00,66.39,5.00,-1.00,36.94,94.19,-1.00,-1.00,28.57,100.00
6933875,2300000000,0.80,8.42,8.79,-1.00,9.09,50.00,7.41,3.52,3.45,70.00
6933979,2000000000,17.65,0.55,-1.00,0.70,-1.00,0.64,75.76,1.06,2.22,3.51
6933386,11000000000,-1.00,86.07,-1.00,-1.00,44.83,72.00,-1.00,8.33,2.38,41.18
6933542,2200000000,0.76,1.69,0.59,-1.00,9.80,3.03,-1.00,-1.00,0.80,-1.00
6933830,2200000000,0.95,14.29,50.00,13.10,54.47,3.23,20.00,2.22,-1.00,-1.00
6933998,14000000000,70.65,-1.00,95.12,-1.00,-1.00,71.88,69.94,82.61,80.95,-1.00
6934005,20000000000,96.97,-1.00,65.00,-1.00,85.45,7.69,27.27,97.84,90.45,100.00
6933566,4000000000,68.29,-1.00,57.89,49.55,26.19,6.67,-1.00,4.00,-1.00,13.71
6933942,5600000000,95.12,-1.00,17.90,-1.00,42.05,18.30,82.61,6.90,-1.00,60.71
6933381,11000000000,2.38,-1.00,-1.00,44.83,72.00,-1.00,41.18,86.07,-1.00,8.33
6933418,2300000000,1.59,5.34,0.62,21.67,19.51,-1.00,28.00,-1.00,1.49,1.61
6933964,2200000000,1.81,78.01,55.56,1.72,11.67,67.74,-1.00,41.03,7.14,16.44
6933813,3000000000,50.00,33.33,-1.00,-1.00,100.00,16.67,20.00,31.52,20.34,-1.00
6933952,2386578227,94.94,5.88,20.97,15.20,17.86,15.50,37.50,9.47,66.67,55.00
6933409,11000000000,86.07,-1.00,-1.00,72.00,-1.00,-1.00,41.18,8.33,2.38,44.83
6933471,2200000000,-1.00,0.76,9.80,3.03,1.69,0.59,-1.00,-1.00,0.80,-1.00
6933505,10000000000,-1.00,47.32,-1.00,65.79,-1.00,-1.00,82.98,-1.00,63.64,88.52
6933532,14000000000,69.94,80.95,-1.00,70.65,-1.00,95.12,82.61,-1.00,-1.00,71.88
6933705,2100000000,1.05,10.64,12.50,48.97,-1.00,-1.00,-1.00,3.85,7.14,60.75
6933713,2200000000,6.03,-1.00,-1.00,14.29,4.76,18.18,4.55,0.65,2.27,15.31
6933489,3000000000,-1.00,24.09,100.00,15.38,20.61,31.55,-1.00,-1.00,100.00,5.26
6933613,10000000000,-1.00,54.40,59.77,40.00,-1.00,-1.00,100.00,28.57,85.37,13.64
6933708,2100000000,0.74,-1.00,1.72,20.00,-1.00,2.78,-1.00,-1.00,1.75,-1.00
6933880,3000000000,1.39,60.87,2.07,-1.00,-1.00,67.07,5.88,5.56,-1.00,-1.00
6933493,10000000000,76.69,86.49,-1.00,-1.00,85.11,88.46,-1.00,33.33,-1.00,-1.00
6933762,2200000000,-1.00,-1.00,2.13,-1.00,3.03,-1.00,0.89,2.63,-1.00,76.09
6933832,3000000000,17.02,24.24,-1.00,28.68,43.75,-1.00,-1.00,-1.00,91.30,22.81
6933512,21000000000,82.35,-1.00,66.67,-1.00,-1.00,95.09,98.08,94.59,-1.00,-1.00
6933743,2200000000,-1.00,-1.00,-1.00,100.00,9.49,20.59,-1.00,-1.00,5.26,70.59
6933803,3000000000,43.75,17.02,91.30,22.81,-1.00,28.68,-1.00,-1.00,-1.00,24.24
6933835,2386578227,3.90,10.91,1.22,14.81,15.28,2.50,2.27,18.18,-1.00,-1.00
6933917,10000000000,36.94,-1.00,-1.00,-1.00,100.00,-1.00,94.19,66.39,28.57,5.00
6933958,5000000000,0.00,-1.00,58.25,0.70,77.83,56.52,-1.00,36.09,22.32,-1.00
6933891,5000000000,3.03,30.67,85.51,44.27,66.67,-1.00,29.73,-1.00,-1.00,6.40
6933951,2200000000,3.92,12.50,11.63,32.14,8.42,58.33,0.50,93.67,16.13,-1.00
6933407,3000000000,55.00,0.52,-1.00,-1.00,-1.00,5.71,5.88,-1.00,-1.00,-1.00
6933674,3000000000,11.41,6.25,-1.00,-1.00,44.83,67.98,-1.00,-1.00,-1.00,55.28
6933724,3000000000,28.68,-1.00,17.02,-1.00,24.24,91.30,22.81,-1.00,7.89,-1.00
6933501,21000000000,-1.00,-1.00,100.00,90.00,-1.00,87.50,-1.00,68.57,94.41,-1.00
6933981,12000000000,76.32,81.94,55.94,46.83,94.83,-1.00,54.69,58.33,-1.00,80.58
6933509,3000000000,-1.00,25.42,55.00,14.52,33.33,53.66,0.52,-1.00,1.49,-1.00
6933604,8000000000,100.00,54.43,16.67,-1.00,83.87,47.90,-1.00,2.38,5.00,-1.00
6933619,3000000000,-1.00,55.56,92.59,10.00,80.77,43.84,22.94,14.29,0.98,38.04
6933833,15000000000,87.91,0.00,60.62,99.00,65.00,66.32,-1.00,96.00,-1.00,81.82
6933780,2300000000,-1.00,5.88,0.54,0.52,-1.00,1.69,35.00,-1.00,0.71,-1.00
6933876,10000000000,-1.00,86.36,63.37,-1.00,77.78,89.66,85.71,-1.00,-1.00,55.70
6933903,2000000000,0.83,20.00,3.70,0.75,100.00,81.82,14.29,-1.00,10.00,-1.00
6933933,2300000000,-1.00,2.63,22.22,0.69,0.70,75.47,1.56,-1.00,31.07,-1.00
6933742,3000000000,-1.00,2.50,18.18,-1.00,48.39,18.18,-1.00,10.00,18.18,-1.00
6933792,10000000000,82.35,70.41,14.29,-1.00,-1.00,58.97,-1.00,-1.00,16.67,-1.00
6933943,4000000000,47.52,1.59,18.12,36.67,-1.00,37.31,60.00,38.93,21.77,1.49
6933441,2100000000,0.83,0.61,1.45,2.29,0.53,-1.00,-1.00,0.65,3.85,-1.00
6933563,2300000000,1.49,-1.00,-1.00,35.00,1.61,-1.00,19.51,1.69,0.62,21.67
6933788,3000000000,-1.00,2.50,18.18,-1.00,18.18,-1.00,18.18,-1.00,48.39,22.22
6933980,2400000000,-1.00,14.29,0.75,0.66,11.70,81.82,0.83,20.00,16.05,100.00
6933636,35000000000,66.67,90.48,-1.00,-1.00,-1.00,88.89,-1.00,97.78,-1.00,-1.00
6933701,10000000000,28.57,89.66,54.55,4.55,2.27,70.41,14.29,45.45,82.35,-1.00
6933789,10000000000,55.70,-1.00,86.36,63.37,-1.00,-1.00,77.78,89.66,85.71,-1.00
6933874,10000000000,-1.00,77.78,86.36,63.37,89.66,-1.00,-1.00,55.70,85.71,-1.00
6933959,6000000000,35.06,20.74,60.00,-1.00,8.33,49.43,89.29,53.73,58.75,31.40
6933562,2100000000,-1.00,60.65,-1.00,3.30,0.76,2.63,-1.00,1.80,11.11,4.07
6933882,3000000000,52.46,27.47,2.63,-1.00,3.60,1.49,24.07,17.89,0.76,72.34
6933392,11000000000,-1.00,8.33,44.83,72.00,-1.00,2.38,-1.00,41.18,86.07,-1.00
6933450,2200000000,-1.00,0.65,0.61,8.78,0.83,-1.00,-1.00,8.70,-1.00,0.53
6933527,2200000000,81.48,10.00,7.34,16.67,20.00,0.67,-1.00,16.67,34.25,-1.00
6933578,3000000000,22.94,0.98,7.38,-1.00,55.56,14.29,38.04,92.59,43.84,10.00
6933726,2200000000,-1.00,5.26,9.49,-1.00,-1.00,20.59,-1.00,-1.00,100.00,70.59
6933808,2100000000,-1.00,-1.00,-1.00,16.67,0.74,-1.00,3.70,0.78,1.72,1.75
6933913,7200340000,50.00,7.41,33.10,3.45,39.20,27.56,51.88,1.05,61.02,-1.00
6933389,11000000000,41.18,86.07,44.83,2.38,-1.00,72.00,-1.00,8.33,-1.00,-1.00
6933449,3000000000,-1.00,53.66,25.42,55.00,-1.00,-1.00,0.52,33.33,-1.00,1.49
6933480,2200000000,-1.00,35.29,1.06,0.55,-1.00,-1.00,93.94,6.67,3.51,0.70
6933607,2100000000,89.29,1.30,37.62,0.75,12.00,1.59,1.53,0.83,2.97,0.74
6933719,3000000000,-1.00,-1.00,11.41,-1.00,-1.00,6.25,44.83,67.98,-1.00,55.28
6933827,3000000000,4.72,28.57,1.05,8.47,56.85,-1.00,3.45,5.60,-1.00,3.12
6933924,10000000000,89.69,-1.00,87.50,-1.00,3.45,-1.00,50.00,38.46,92.55,4.00
6933503,2200000000,-1.00,93.94,6.67,-1.00,3.51,-1.00,1.06,0.55,0.70,20.00
6933526,3000000000,55.56,92.59,10.00,22.94,0.98,80.77,-1.00,43.84,14.29,38.04
6933911,3000000000,16.67,7.38,-1.00,55.56,-1.00,-1.00,46.67,92.59,43.84,32.65
6933920,5000000000,8.73,-1.00,65.28,1.56,37.50,5.56,87.93,2.63,14.58,-1.00
6933956,2100000000,8.03,12.12,-1.00,15.15,11.11,12.22,1.16,-1.00,1.41,9.52
6933961,12000000000,100.00,-1.00,65.10,-1.00,82.72,70.00,94.12,-1.00,14.29,47.76
6933537,2200000000,93.94,-1.00,3.51,20.00,1.06,6.67,0.55,0.70,-1.00,-1.00
6933686,10000000000,20.00,51.11,-1.00,28.57,-1.00,13.64,-1.00,100.00,54.40,85.37
6933862,10000000000,92.16,62.42,-1.00,-1.00,-1.00,63.77,57.14,80.00,80.88,43.05
6933969,2100000000,-1.00,74.02,0.95,17.31,2.08,-1.00,0.85,0.77,8.33,9.76
6933393,11000000000,2.38,-1.00,86.07,44.83,72.00,41.18,-1.00,-1.00,-1.00,8.33
6933609,2300000000,1.59,0.62,1.49,19.51,-1.00,28.00,5.34,1.61,21.67,-1.00
6933805,2200000000,11.82,7.69,-1.00,1.56,-1.00,3.45,-1.00,51.52,3.45,4.00
6933907,3000000000,43.84,22.94,14.29,38.04,80.77,-1.00,92.59,0.98,55.56,10.00
6933434,3000000000,-1.00,-1.00,51.24,-1.00,3.07,29.01,-1.00,0.65,82.61,18.24
6933644,20000000000,0.00,-1.00,92.19,-1.00,86.36,-1.00,97.67,-1.00,31.82,93.62
6933657,10000000000,63.29,-1.00,-1.00,79.10,-1.00,-1.00,70.69,-1.00,-1.00,-1.00
6933776,2100000000,-1.00,4.44,3.92,1.49,-1.00,-1.00,0.45,-1.00,-1.00,-1.00
6933653,3000000000,-1.00,-1.00,16.67,-1.00,12.82,6.14,2.70,0.89,52.94,-1.00
6933940,10000000000,90.91,65.45,89.69,-1.00,-1.00,3.45,4.00,87.50,-1.00,68.97
6933402,3000000000,3.45,52.00,8.33,3.31,-1.00,-1.00,-1.00,31.03,40.30,41.25
6933654,2100000000,4.76,3.45,4.55,5.23,-1.00,14.29,-1.00,18.18,0.65,2.27
6933932,2500000000,4.35,100.00,2.33,10.94,13.02,0.89,-1.00,53.57,1.47,9.29
6933427,2300000000,0.53,-1.00,0.65,-1.00,-1.00,11.45,-1.00,0.83,-1.00,-1.00
6933439,2300000000,0.65,0.61,12.41,7.69,11.45,-1.00,0.53,0.83,-1.00,-1.00
6933465,2100000000,-1.00,8.11,-1.00,-1.00,-1.00,14.29,53.85,3.03,0.98,18.40
6933688,3000000000,17.74,-1.00,-1.00,55.00,-1.00,5.88,41.74,0.52,-1.00,5.71
6933732,3000000000,1.22,35.19,15.15,22.22,-1.00,75.00,12.07,86.36,18.18,-1.00
6933794,2200000000,0.76,9.80,-1.00,3.03,1.69,0.59,-1.00,-1.00,0.80,-1.00
6933966,2200000000,3.92,8.42,21.82,50.00,93.67,16.13,32.14,4.80,12.50,11.63
6933453,3000000000,55.56,92.59,43.84,14.29,0.98,-1.00,-1.00,10.00,22.94,-1.00
6933454,3000000000,53.66,-1.00,25.42,55.00,0.52,-1.00,33.33,-1.00,1.49,-1.00
6933485,3900000000,37.62,29.85,45.54,17.74,35.00,-1.00,60.00,1.59,34.35,16.88
6933559,2300000000,3.03,21.62,-1.00,-1.00,34.04,82.84,71.15,-1.00,-1.00,-1.00
6933692,19110000000,77.46,-1.00,16.67,78.35,79.51,70.27,-1.00,70.33,84.81,77.17
6933717,10000000000,70.41,54.55,45.45,2.27,4.55,82.35,14.29,-1.00,28.57,89.66
6934010,2500000000,10.94,9.29,4.35,-1.00,0.89,2.33,53.57,1.47,100.00,13.02
6933558,3000000000,92.59,22.94,38.04,7.38,-1.00,10.00,14.29,0.98,55.56,43.84
6933714,3000000000,24.09,15.38,100.00,-1.00,-1.00,5.26,100.00,20.61,31.55,-1.00
6933910,2200000000,0.67,-1.00,-1.00,0.75,10.00,0.74,-1.00,0.66,3.62,-1.00
6933983,12000000000,74.78,-1.00,67.65,-1.00,-1.00,31.58,58.06,-1.00,-1.00,-1.00
6933398,2300000000,1.61,-1.00,1.49,-1.00,-1.00,-1.00,-1.00,0.62,21.67,19.51
6933522,3000000000,33.33,-1.00,25.42,55.00,-1.00,-1.00,1.49,53.66,-1.00,0.52
6933529,10000000000,88.46,-1.00,-1.00,-1.00,85.11,76.69,33.33,86.49,-1.00,-1.00
6933683,3000000000,4.00,20.31,64.43,-1.00,-1.00,-1.00,1.05,43.62,12.50,3.85
6933693,2300000000,35.00,0.52,-1.00,0.54,1.69,-1.00,-1.00,0.71,5.88,-1.00
6933599,2200000000,-1.00,-1.00,-1.00,5.00,-1.00,3.03,21.62,-1.00,34.04,82.84
6933810,2640000000,0.94,1.19,8.33,0.95,63.41,19.23,-1.00,54.17,1.72,0.77
6933975,10000000000,89.69,4.00,-1.00,87.50,-1.00,92.55,50.00,38.46,-1.00,3.45
6933464,10000000000,88.46,-1.00,85.11,-1.00,-1.00,-1.00,76.69,33.33,86.49,-1.00
6933573,4000000000,49.55,26.19,68.29,13.71,-1.00,4.00,57.89,-1.00,6.67,-1.00
6933617,3000000000,10.00,14.29,80.77,-1.00,55.56,92.59,43.84,22.94,0.98,38.04
6933575,19110000000,-1.00,76.00,47.06,89.34,-1.00,65.52,-1.00,8.33,88.51,-1.00
6933768,2000000000,-1.00,-1.00,1.19,-1.00,2.17,-1.00,-1.00,74.17,2.50,7.14
6933842,3000000000,50.00,31.52,33.33,-1.00,-1.00,16.67,20.34,100.00,-1.00,20.00
6933457,3900000000,29.85,60.00,1.59,17.74,37.62,34.35,16.88,35.00,-1.00,45.54
6933477,2300000000,0.55,-1.00,5.73,1.06,52.94,93.94,22.22,-1.00,-1.00,40.00
6933718,2100000000,3.85,48.97,7.14,60.75,-1.00,1.05,-1.00,-1.00,10.64,12.50
6933896,2100000000,-1.00,-1.00,3.45,12.12,3.85,48.97,4.00,12.50,1.56,-1.00
6933914,2300000000,2.63,22.22,1.56,0.69,0.70,75.47,-1.00,-1.00,31.07,-1.00
6933569,10000000000,66.39,28.57,36.94,-1.00,94.19,-1.00,-1.00,-1.00,100.00,5.00
6933883,2200000000,11.11,37.62,25.00,-1.00,18.42,0.69,30.56,-1.00,-1.00,30.00
6933931,3860000000,76.60,60.11,29.67,35.19,22.76,0.76,-1.00,4.50,-1.00,2.63
6933486,6000000000,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,90.00,56.25,62.16,-1.00
6933579,11000000000,-1.00,51.65,53.63,-1.00,80.70,-1.00,51.27,-1.00,100.00,52.00
6933584,20000000000,0.00,78.52,91.53,78.70,-1.00,-1.00,100.00,93.88,-1.00,75.00
6933650,2500000000,48.89,20.00,2.78,-1.00,22.22,4.76,-1.00,45.45,-1.00,-1.00
6933902,4000000000,78.26,32.95,44.44,36.27,3.45,-1.00,15.43,-1.00,-1.00,56.25
6933517,11000000000,-1.00,8.33,41.18,-1.00,86.07,-1.00,44.83,72.00,2.38,-1.00
6933631,3000000000,14.29,80.77,-1.00,43.84,10.00,22.94,0.98,38.04,55.56,92.59
6933892,9000000000,30.30,47.22,-1.00,2.50,30.91,72.22,-1.00,43.51,-1.00,27.27
6933938,80000000000,-1.00,-1.00,0.00,98.66,-1.00,100.00,0.00,100.00,-1.00,0.00
6933380,3000000000,3.45,52.00,8.33,-1.00,-1.00,-1.00,31.03,-1.00,-1.00,-1.00
6933391,6000000000,-1.00,58.75,31.40,89.29,20.74,60.00,8.33,49.43,53.73,35.06
6933401,10000000000,56.72,100.00,-1.00,74.81,53.23,58.33,69.49,57.50,-1.00,-1.00
6933448,3080000000,17.74,-1.00,29.41,-1.00,-1.00,5.88,-1.00,-1.00,100.00,41.74
6933585,2300000000,35.00,0.52,-1.00,1.49,19.51,-1.00,-1.00,1.69,-1.00,-1.00
6933679,2400000000,-1.00,-1.00,20.00,16.67,0.74,-1.00,9.48,-1.00,-1.00,24.56
6933494,2100000000,0.98,18.40,53.85,-1.00,-1.00,14.29,3.03,8.11,-1.00,-1.00
6933722,10000000000,40.00,-1.00,74.52,-1.00,76.00,-1.00,-1.00,-1.00,-1.00,51.41
6933750,20000000000,-1.00,-1.00,86.67,87.27,21.62,-1.00,-1.00,83.33,91.96,16.67
6933941,2100000000,0.78,4.55,5.23,-1.00,12.77,-1.00,70.97,0.65,2.27,-1.00
6933382,6000000000,60.00,-1.00,8.33,53.73,-1.00,49.43,58.75,-1.00,-1.00,-1.00
6933516,2200000000,14.75,-1.00,2.86,33.33,29.73,-1.00,-1.00,-1.00,0.89,-1.00
6933886,10000000000,-1.00,28.18,33.33,84.16,55.67,89.80,2.78,-1.00,72.54,53.42
6934008,10000000000,55.77,86.34,-1.00,56.52,-1.00,93.88,98.25,64.79,-1.00,72.28
6933463,4000000000,-1.00,66.67,1.69,31.36,36.73,-1.00,16.67,3.03,-1.00,46.67
6933554,2100000000,0.76,-1.00,-1.00,-1.00,2.63,11.11,4.07,1.80,60.65,3.30
6933706,2300000000,-1.00,9.09,4.32,5.00,-1.00,-1.00,3.45,11.82,7.69,0.64
6933934,2200000000,9.09,-1.00,-1.00,2.88,5.00,0.64,-1.00,0.70,8.00,7.69
6933947,2200000000,27.59,8.42,-1.00,17.19,5.56,0.79,16.13,32.14,58.33,0.50
6933985,12000000000,46.83,94.83,-1.00,76.32,81.94,54.69,58.33,-1.00,80.58,55.94
6933408,4150987148,-1.00,48.75,29.22,11.85,38.12,8.33,37.93,41.79,16.53,89.29
6933504,2200000000,29.73,-1.00,14.75,-1.00,0.89,-1.00,33.33,-1.00,2.86,-1.00
6933594,10000000000,-1.00,-1.00,-1.00,47.32,-1.00,82.98,63.64,88.52,65.79,-1.00
6933725,5000000000,-1.00,90.00,-1.00,-1.00,0.70,-1.00,56.25,59.46,-1.00,3.51
6933828,2100000000,60.75,1.05,12.50,3.85,-1.00,7.14,-1.00,10.64,48.97,-1.00
6933845,2500000000,6.33,16.67,11.34,22.83,2.38,5.00,0.70,0.82,-1.00,100.00
6933499,2300000000,37.62,0.75,28.00,0.62,1.61,21.67,0.74,7.92,1.59,5.34
6933541,2200000000,1.49,17.02,15.74,1.72,-1.00,0.68,7.32,8.84,12.57,10.99
6933670,14000000000,-1.00,70.65,-1.00,95.12,82.61,80.95,69.94,-1.00,-1.00,71.88
6933786,2200000000,-1.00,-1.00,0.61,8.70,8.78,-1.00,0.53,0.83,-1.00,0.65
6934001,2860000000,10.00,0.70,25.00,1.35,1.10,-1.00,0.82,-1.00,-1.00,0.56
6934004,9000000000,-1.00,-1.00,-1.00,86.49,42.55,89.94,5.00,-1.00,-1.00,-1.00
6933543,3000000000,-1.00,-1.00,-1.00,24.24,22.81,-1.00,7.89,17.02,91.30,28.68
6933865,10000000000,72.54,28.18,84.16,55.67,53.42,-1.00,2.78,33.33,-1.00,89.80
6933615,3000000000,4.55,18.39,9.23,2.70,6.14,41.46,2.00,4.35,2.22,12.73
6933816,4550000000,-1.00,40.52,-1.00,89.29,-1.00,42.19,37.50,6.67,-1.00,3.70
6933899,3900000000,-1.00,4.00,-1.00,46.85,3.35,-1.00,54.39,10.66,6.67,25.00
6933939,2400000000,-1.00,-1.00,9.48,-1.00,24.56,20.00,16.67,0.74,-1.00,-1.00
6933945,10000000000,79.17,76.70,0.00,50.00,56.94,-1.00,53.15,-1.00,84.43,91.30
6933782,15000000000,79.83,-1.00,100.00,-1.00,64.29,43.94,-1.00,63.96,-1.00,97.42
6933962,2100000000,1.41,12.12,-1.00,15.15,11.11,11.67,9.52,26.32,67.74,1.20
6933472,2500000000,0.59,3.05,3.03,-1.00,0.80,-1.00,23.53,1.69,8.78,-1.00
