block_number,price,percentagePlus1,percentagePlus2,percentagePlus3,percentagePlus4,percentagePlus5,percentagePlus6,percentagePlus7,percentagePlus8,percentagePlus9,percentagePlus10
6933876,3000000000,28.12,37.21,48.39,6.25,15.07,18.18,31.40,2.38,26.76,10.00
6933912,3900000000,33.33,1.79,63.27,57.35,17.90,19.39,45.07,0.55,46.03,35.65
6933486,3080000000,15.87,100.00,31.55,1.30,51.24,100.00,5.26,24.09,15.38,20.61
6933622,2860000000,6.13,2.44,1.20,-1.00,19.64,14.71,40.62,0.54,2.15,54.35
6933726,4000000000,65.31,15.12,65.96,4.00,57.89,1.10,70.00,1.54,18.26,13.71
6933803,3000000000,8.33,0.94,25.61,75.00,86.36,10.48,73.17,28.85,9.52,12.07
6933900,4500000000,61.90,-1.00,34.09,93.90,3.45,41.38,58.04,11.11,82.61,16.05
6933972,2860000000,45.05,-1.00,0.89,1.79,2.13,47.54,2.63,76.19,58.33,3.03
6933786,3000000000,6.25,18.18,28.12,37.21,31.40,2.38,2.50,18.18,48.39,10.00
6933920,3900000000,45.07,44.93,31.90,15.52,16.43,57.35,19.39,33.33,100.00,17.90
6933967,3900000000,9.60,58.54,31.03,14.00,31.31,14.29,25.93,16.92,50.00,22.22
6933619,3500000000,75.00,43.33,25.64,64.71,0.68,16.67,59.57,37.76,14.29,4.76
6933682,4000000000,68.29,50.00,1.59,21.77,36.67,1.49,38.93,18.12,39.24,16.18
6933887,3000000000,46.67,55.56,92.59,10.00,7.38,17.31,43.84,22.94,14.29,0.98
6933909,3000000000,29.60,75.00,28.57,26.36,48.21,32.73,97.47,14.71,30.65,25.00
6933975,4500000000,86.27,5.26,7.14,25.37,100.00,56.86,36.23,44.44,10.00,32.21
6933987,3000000000,5.63,31.52,42.17,1.35,5.00,16.67,1.64,36.73,26.58,21.65
6933713,4550000000,10.00,11.73,89.29,0.66,15.29,11.11,3.70,42.19,37.50,78.02
6933844,3900000000,58.54,25.93,31.03,2.22,30.00,22.22,9.60,16.92,14.00,4.35
6933385,6000000000,-1.00,60.00,5.56,49.43,31.40,89.29,35.06,8.33,53.73,58.75
6933406,4000000000,32.20,0.52,36.67,39.24,1.49,68.29,50.00,16.18,60.00,1.12
6933414,4150987148,89.29,29.22,60.00,1.59,40.46,18.12,11.85,38.12,37.31,49.50
6933551,2860000000,19.64,14.71,1.20,2.44,54.35,-1.00,40.62,0.54,6.13,2.15
6933767,3000000000,56.67,8.65,11.11,9.72,12.50,3.70,27.78,10.00,54.46,43.18
6933805,2500000000,3.85,59.79,4.00,1.56,14.29,3.45,29.79,12.50,9.40,2.05
6933379,5000000000,2.33,1.96,24.63,17.24,60.00,2.38,45.90,35.94,5.56,8.33
6933450,3000000000,2.70,29.41,14.29,15.87,100.00,5.88,41.74,94.12,2.13,17.74
6933922,3000000000,21.57,35.85,1.05,12.50,49.61,7.14,75.70,43.62,3.85,64.43
6933455,5000000000,24.63,17.24,8.33,45.98,2.33,1.96,45.90,35.94,60.00,5.56
6933795,3432000000,3.70,1.05,11.02,-1.00,-1.00,16.90,3.45,-1.00,7.20,30.83
6933978,2386578227,10.20,0.89,50.00,2.33,42.86,10.94,75.47,4.35,91.67,11.83
6933499,2300000000,0.81,14.75,2.63,1.79,0.70,2.86,45.05,-1.00,0.89,61.90
6933642,2500000000,86.54,45.83,0.55,29.79,0.70,2.27,40.00,33.33,3.51,13.33
6933899,3900000000,50.00,14.29,45.10,56.91,39.51,20.90,100.00,10.00,74.51,26.17
6933933,3000000000,22.22,71.55,-1.00,18.18,86.36,35.19,18.18,2.50,1.22,15.15
6933545,3000000000,-1.00,26.89,100.00,5.00,16.67,-1.00,-1.00,36.84,2.38,26.58
6933427,3000000000,29.41,14.29,2.13,15.87,5.26,100.00,41.74,2.70,94.12,100.00
6933639,7000000000,93.55,26.56,31.82,89.01,59.57,63.44,-1.00,-1.00,0.66,10.00
6933632,3100000000,5.56,25.00,67.03,10.00,87.50,27.34,1.48,1.85,7.01,3.70
6933941,3900000000,17.90,57.35,31.90,15.52,100.00,16.43,19.39,33.33,45.07,44.93
6933968,2860000000,0.79,36.47,-1.00,28.95,2.38,100.00,0.76,1.80,75.48,14.29
6933633,3000000000,22.81,32.14,12.88,58.70,91.30,28.68,43.75,1.63,2.15,12.20
6933663,7200340000,53.33,38.46,65.96,70.59,51.02,14.29,0.89,72.09,77.94,16.67
6933851,3000000000,25.00,54.46,3.70,65.00,2.56,36.84,62.50,85.43,43.18,12.50
6933908,3000000000,0.64,3.45,7.69,9.09,52.52,5.00,35.03,-1.00,5.26,30.00
6933931,5200000000,6.00,71.43,0.91,33.33,74.26,31.51,2.78,83.11,47.89,35.05
6933397,4150987148,49.50,1.59,38.33,39.24,1.49,37.31,60.00,40.46,18.12,21.77
6933716,3000000000,14.29,0.68,4.76,0.65,10.07,40.52,31.82,4.55,2.27,8.14
6933815,3000000000,86.36,18.18,-1.00,18.18,1.22,35.19,15.15,22.22,71.55,2.50
6933889,3000000000,34.40,41.77,55.28,20.00,6.25,7.69,0.57,53.45,8.75,51.52
6933902,3000000000,35.19,15.15,18.18,18.18,18.18,1.22,71.55,-1.00,2.50,22.22
6933983,3000000000,44.12,0.62,100.00,32.56,16.67,20.00,50.00,33.33,20.34,9.09
6933577,3900000000,11.63,1.54,64.89,10.66,46.85,25.00,4.00,54.39,15.65,6.67
6933843,3000000000,27.85,30.36,60.00,50.00,64.29,20.00,34.12,2.78,36.51,4.76
6933914,4500000000,3.45,41.38,16.05,-1.00,11.11,82.61,61.90,58.04,34.09,93.90
6933435,3000000000,82.61,18.24,0.65,3.07,1.69,29.01,26.19,0.80,64.29,-1.00
6933516,8000000000,54.02,65.67,62.50,34.71,53.12,31.03,60.00,5.56,8.33,89.29
6933578,3900000000,31.31,14.29,65.81,2.22,50.00,22.22,9.60,58.54,25.93,20.00
6933707,9000000000,31.69,79.41,75.86,46.51,42.86,79.07,70.00,47.95,20.00,60.00
6933762,3000000000,2.38,100.00,21.65,5.63,31.52,26.89,36.84,5.00,26.58,16.67
6933403,4000000000,21.77,68.29,50.00,16.18,18.12,39.24,1.49,32.20,60.00,36.67
6933555,3000000000,21.65,5.63,-1.00,36.84,16.67,5.00,26.58,26.89,2.38,100.00
6933590,3000000000,0.80,70.35,66.67,3.03,23.08,26.19,1.69,21.30,22.66,32.65
6933637,4550000000,20.00,42.19,69.23,40.52,87.50,25.00,37.50,6.67,50.88,78.57
6933868,2860000000,1.49,13.01,2.63,0.76,0.79,61.70,21.86,14.29,23.15,1.80
6933438,3000000000,100.00,5.26,2.70,29.41,15.87,2.13,100.00,41.74,94.12,14.29
6933465,3000000000,18.24,1.69,29.01,1.69,82.61,0.80,70.35,66.67,3.03,26.19
6933476,3000000000,5.00,27.38,55.17,50.00,70.59,0.00,20.00,6.98,17.82,13.38
6933685,3000000000,42.17,1.35,10.00,9.88,1.64,36.73,1.10,1.54,59.57,4.00
6933697,4550000000,42.19,37.50,0.66,89.29,11.11,15.29,3.70,78.02,10.00,11.73
6933794,3110000000,7.14,1.05,64.44,21.57,49.61,75.70,35.85,45.74,12.50,47.06
6933848,3000000000,86.36,15.15,22.22,18.18,2.50,1.22,35.19,71.55,-1.00,18.18
6933779,3110000000,21.57,49.61,1.05,45.74,3.85,47.06,7.14,75.70,35.85,12.50
6933457,3000000000,22.66,7.38,17.31,55.56,92.59,21.30,32.65,23.08,16.67,46.67
6933485,3000000000,20.00,50.00,70.59,0.00,13.38,1.06,27.38,6.98,55.17,17.82
6933631,2860000000,86.79,6.13,2.15,2.44,-1.00,64.29,0.62,0.54,54.35,1.20
